customer_id,age,gender,city,signup_date
C00001,56,Other,Delhi,2025-05-22
C00002,46,Male,Hyderabad,2025-11-03
C00003,25,Male,Bangalore,2024-08-30
C00004,38,Male,Delhi,2024-11-24
C00005,36,Other,Ahmedabad,2025-12-29
C00006,28,Male,Lucknow,2025-04-29
C00007,41,Female,Jaipur,2025-07-24
C00008,53,Male,Delhi,2024-03-12
C00009,41,Male,Bangalore,2026-03-23
C00010,39,Other,Lucknow,2025-09-26
C00011,19,Male,Ahmedabad,2025-08-22
C00012,47,Male,Ahmedabad,2024-05-17
C00013,19,Female,Bangalore,2026-01-21
C00014,38,Female,Lucknow,2026-02-21
C00015,29,Female,Jaipur,2025-09-21
C00016,39,Male,Pune,2025-11-21
C00017,42,Female,Hyderabad,2025-01-17
C00018,44,Male,Bangalore,2026-06-03
C00019,59,Female,Delhi,2025-04-12
C00020,33,Male,Pune,2024-06-09
C00021,20,Male,Chennai,2025-04-03
C00022,24,Female,Lucknow,2026-07-11
C00023,26,Female,Jaipur,2026-02-15
C00024,35,Other,Kolkata,2025-07-09
C00025,42,Other,Delhi,2025-09-19
C00026,31,Female,Delhi,2025-12-02
C00027,26,Other,Hyderabad,2025-08-20
C00028,19,Other,Lucknow,2025-08-26
C00029,45,Female,Lucknow,2025-07-30
C00030,24,Male,Delhi,2025-05-30
C00031,25,Male,Bangalore,2024-01-01
C00032,52,Female,Delhi,2026-01-07
C00033,34,Male,Delhi,2024-01-12
C00034,57,Female,Hyderabad,2025-07-09
C00035,19,Female,Chennai,2025-07-07
C00036,59,Male,Chennai,2024-06-20
C00037,46,Female,Bangalore,2024-08-28
C00038,35,Other,Hyderabad,2024-08-01
C00039,51,Other,Delhi,2026-01-11
C00040,53,Other,Mumbai,2025-11-04
C00041,48,Other,Bangalore,2024-05-07
C00042,32,Male,Kolkata,2025-05-02
C00043,31,Female,Hyderabad,2024-08-04
C00044,57,Other,Ahmedabad,2024-08-06
C00045,33,Male,Chennai,2024-07-13
C00046,35,Male,Bangalore,2024-03-05
C00047,41,Male,Chennai,2024-01-22
C00048,42,Female,Hyderabad,2024-06-28
C00049,58,Male,Bangalore,2026-02-25
C00050,32,Other,Chennai,2024-05-10
C00051,18,Male,Kolkata,2024-03-27
C00052,24,Female,Kolkata,2025-02-26
C00053,41,Male,Hyderabad,2026-03-25
C00054,25,Male,Bangalore,2025-04-16
C00055,28,Other,Ahmedabad,2025-03-20
C00056,34,Other,Hyderabad,2025-07-05
C00057,52,Other,Lucknow,2025-06-08
C00058,50,Female,Lucknow,2025-07-18
C00059,22,Female,Chennai,2025-03-29
C00060,56,Male,Mumbai,2026-06-21
C00061,45,Other,Kolkata,2026-03-19
C00062,26,Male,Jaipur,2024-04-13
C00063,29,Male,Mumbai,2024-01-14
C00064,50,Other,Mumbai,2026-06-14
C00065,40,Other,Pune,2025-01-04
C00066,41,Other,Delhi,2024-05-18
C00067,52,Female,Pune,2024-09-16
C00068,57,Other,Kolkata,2024-08-05
C00069,44,Other,Hyderabad,2025-01-31
C00070,18,Other,Jaipur,2024-07-23
C00071,54,Other,Delhi,2024-01-01
C00072,31,Other,Ahmedabad,2024-10-27
C00073,18,Female,Chennai,2026-07-27
C00074,43,Male,Hyderabad,2025-03-16
C00075,31,Female,Mumbai,2024-03-13
C00076,44,Female,Jaipur,2025-07-04
C00077,32,Other,Hyderabad,2026-07-17
C00078,43,Other,Mumbai,2025-01-24
C00079,30,Other,Delhi,2024-09-09
C00080,49,Other,Hyderabad,2024-07-19
C00081,49,Other,Ahmedabad,2024-02-13
