product_id,product_name,category,price,cost,stock,rating
P0001,Speakers 1,Audio,9926.11,6306.34,225,4.1
P0002,Speakers 2,Audio,9332.75,6164.05,309,4.5
P0003,Headphones 3,Audio,2728.16,1980.41,326,3.5
P0004,Headphones 4,Audio,12316.09,6776.28,347,3.2
P0005,Headphones 5,Audio,2979.15,1382.22,396,4.5
P0006,Headphones 6,Audio,2920.65,2102.37,191,4.3
P0007,Earbuds 7,Audio,7875.71,3574.85,85,4.6
P0008,Headphones 8,Audio,6981.63,5069.21,157,4.9
P0009,Headphones 9,Audio,10222.63,7429.47,19,3.6
P0010,Headphones 10,Audio,6995.79,5060.88,432,4.6
P0011,Earbuds 11,Audio,1226.77,731.26,33,4.1
P0012,Earbuds 12,Audio,8677.67,6038.71,471,3.2
P0013,Earbuds 13,Audio,5291.81,3455.35,272,4.5
P0014,Headphones 14,Audio,4360.58,3133.77,68,3.7
P0015,Headphones 15,Audio,14526.51,8097.34,469,4.2
P0016,Headphones 16,Audio,11011.25,4993.68,319,4.0
P0017,Speakers 17,Audio,11803.04,6416.71,302,3.5
P0018,Earbuds 18,Audio,9665.29,6628.89,443,3.4
P0019,Earbuds 19,Audio,1001.55,565.26,288,4.4
P0020,Headphones 20,Audio,2858.27,1647.6,492,4.1
P0021,Headphones 21,Audio,8416.58,4586.27,330,3.1
P0022,Speakers 22,Audio,11429.44,7216.79,358,3.7
P0023,Earbuds 23,Audio,10160.53,7375.16,312,3.1
P0024,Speakers 24,Audio,9667.43,5932.1,435,4.7
P0025,Earbuds 25,Audio,12371.92,8806.51,172,3.0
P0026,Headphones 26,Audio,3234.12,1809.86,157,4.1
P0027,Headphones 27,Audio,2876.32,1929.5,85,4.5
P0028,Earbuds 28,Audio,13967.86,9399.9,19,4.5
P0029,Speakers 29,Audio,7554.31,5617.53,41,3.4
P0030,Speakers 30,Audio,8215.97,4029.8,74,3.2
P0031,Speakers 31,Audio,5544.02,3941.99,435,3.3
P0032,Earbuds 32,Audio,10805.77,7534.15,36,4.2
P0033,Headphones 33,Audio,958.21,662.38,325,3.5
P0034,Headphones 34,Audio,6264.19,3692.75,390,4.2
P0035,Earbuds 35,Audio,14845.67,10757.93,63,4.8
P0036,Headphones 36,Audio,4671.43,2379.19,339,3.2
P0037,Earbuds 37,Audio,8756.94,4999.27,137,3.5
P0038,Earbuds 38,Audio,8571.61,4843.12,170,3.4
P0039,Headphones 39,Audio,6787.59,3703.36,298,4.2
P0040,Headphones 40,Audio,4652.47,3222.89,132,4.4
P0041,Speakers 41,Audio,7281.15,4650.02,329,4.3
P0042,Headphones 42,Audio,14412.92,9289.35,27,4.1
P0043,Headphones 43,Audio,5723.72,3589.83,206,4.6
P0044,Speakers 44,Audio,10806.06,6419.98,198,4.8
P0045,Headphones 45,Audio,5946.68,2747.63,279,3.1
P0046,Speakers 46,Audio,705.5,421.99,292,4.2
P0047,Headphones 47,Audio,12787.09,7568.28,295,3.6
P0048,Speakers 48,Audio,4644.0,2191.89,113,4.8
P0049,Earbuds 49,Audio,10175.44,7469.37,166,4.6
P0050,Earbuds 50,Audio,8111.79,4919.89,275,3.9
P0051,Speakers 51,Audio,14296.4,7472.76,464,3.2
P0052,Earbuds 52,Audio,1269.91,937.67,405,3.8
P0053,Earbuds 53,Audio,4359.4,2501.84,341,3.2
P0054,Speakers 54,Audio,9834.48,4592.59,215,4.0
P0055,Headphones 55,Audio,1162.44,591.31,66,3.3
P0056,Headphones 56,Audio,6966.46,3957.89,447,4.7
P0057,Headphones 57,Audio,5694.23,2635.16,400,4.3
P0058,Headphones 58,Audio,7707.82,5524.01,464,4.3
P0059,Headphones 59,Audio,13444.21,9904.74,468,4.5
